House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,James Close,Bethany,Morgan,37,Head,Divorced,Female,Customer service manager,None,No Religion
1,James Close,Trevor,Sharp,31,Lodger,Widowed,Male,Theatre manager,None,Christian
1,James Close,Harriet,Green,49,Lodger,Single,Female,Sport and exercise psychologist,None,No Religion
2,James Close,Karl,Thompson,44,Head,Single,Male,Corporate investment banker,None,Christian
2,James Close,Lewis,Thompson,12,Son,NA,Male,Student,None,NA
2,James Close,Bethany,Thompson,12,Adopted Daughter,NA,Female,Student,None,NA
2,James Close,Paula,Thompson,6,Daughter,NA,Female,Student,None,NA
3,James Close,Abbie,Harris,61,Head,Married,Female,Museum/gallery conservator,None,No Religion
3,James Close,Mohamed,Harris,60,Husband,Married,Male,Unemployed,None,No Religion
4,James Close,Diana,Talbot,67,Head,Divorced,Female,Visual merchandiser,None,No Religion
5,James Close,Edward,Humphries,42,Head,Married,Male,Unemployed,None,No Religion
5,James Close,Rachael,Humphries,41,Wife,Married,Female,Senior tax professional/tax inspector,None,No Religion
6,James Close,Diane,Smart,60,Head,Divorced,Female,"Engineer, aeronautical",None,Christian
6,James Close,Charlene,Lyons,18,None,Single,Female,Student,None,
6,James Close,Howard,Wilkins,41,None,Single,Male,Forensic scientist,None,Christian
6,James Close,Lawrence,Fowler,63,None,Single,Male,Forensic scientist,None,Christian
7,James Close,Francesca,Thompson,70,Head,Married,Female,Retired Data processing manager,None,Christian
7,James Close,Dylan,Thompson,66,Husband,Married,Male,Lawyer,None,Christian
7,James Close,Samuel,Thompson,36,Son,Single,Male,Comptroller,None,Christian
7,James Close,Arthur,Thompson,32,Son,Single,Male,Publishing rights manager,None,Christian
8,James Close,Clare,Ahmed,52,Head,Married,Female,Chiropractor,None,Christian
8,James Close,Francis,Ahmed,55,Husband,Married,Male,"Engineer, civil (consulting)",None,Christian
8,James Close,Gail,Ahmed,27,Daughter,Divorced,Female,Chartered certified accountant,None,Christian
8,James Close,Neil,Ahmed,8,Son,Married,Male,Student,None,No Religion
9,James Close,Eleanor,North,32,Head,Single,Female,"Engineer, petroleum",None,Sikh
9,James Close,Derek,Murphy,34,Partner,Single,Male,Counsellor,None,No Religion
9,James Close,Jack,North,5,Son,NA,Male,Student,None,Sikh
10,James Close,Gail,Johnson,60,Head,Single,Female,"Biochemist, clinical",None,Christian
10,James Close,Hollie,Stephenson,43,None,Single,Female,"Surveyor, rural practice",None,Christian
10,James Close,John,Cartwright,32,None,Single,Male,Chief Technology Officer,None,Christian
11,James Close,Douglas,Davies,20,Head,Single,Male,University Student,None,No Religion
11,James Close,Jill,Briggs,22,None,Single,Female,University Student,None,Christian
12,James Close,Angela,Jackson,33,Head,Divorced,Female,Unemployed,None,The Circle of Magi
12,James Close,Richard,Jackson,11,Son,NA,Male,Student,None,NA
